i,j,w_k,v_k,wk_vk,d_k,d_k_renorm,ratio
9,36,0.28497815866430043,7.495884392117124,2.136163331626007,2.0564879606109923,0.2501496319745144,0.9627016484014042
38,4,0.37995725730145,5.51291775470605,2.0946731098065787,2.037493482294353,0.01935940552112055,0.9727023623664574
37,34,0.21032461013929452,10.506364046085114,2.2097469219743524,2.030866311573477,0.1150284265810534,0.9190492772624612
36,8,0.16253074559314212,13.027783492766833,2.1174153645054226,2.02603057980388,0.06544921648010886,0.9568413518512048
28,40,0.22743257063428185,8.843520579918765,2.0113046189481,1.9435517867607233,0.12623652679684527,0.966313987672931
33,39,0.3598753255604223,5.46700893726854,1.9674416211412542,1.9304984632804394,0.001352976335392921,0.9812227425384112
54,35,0.3875242784871919,5.093603034733011,1.9738948409350812,1.927310450927636,0.11896242996739456,0.9763997609997415
58,46,0.3799278178755526,5.232612735016905,1.9880151382027995,1.9209873063544476,0.20710480750165178,0.9662840435365365
39,14,0.28895595449069444,7.031411011672109,2.0317680802940936,1.909399364765052,0.11402007191966876,0.9397723014177243
23,9,0.35598822994157403,5.460503398134344,1.9438749392917953,1.9045125050783411,0.10681443220488701,0.9797505315708247
39,24,0.27928996162486086,7.0246868638348365,1.9619245246270958,1.8891757273042578,0.11504669046567909,0.9629196758541639
29,21,0.24651696067762338,8.245903189743244,2.0327549923774244,1.8766852503949105,0.023955583379102054,0.9232225513808817
47,52,0.2151935920623899,8.990291484540423,1.9346531182461693,1.8640382723021165,0.08292581543625592,0.9634999963155837
31,59,0.18499795049827059,10.36203262901764,1.9169547993644702,1.8502702450966744,0.027906724645388445,0.9652132881328742
57,55,0.3983688229905954,4.691853711648573,1.8690882407534983,1.849416496362065,0.03279064013812422,0.9894752190065125
22,7,0.28599985711693365,6.586985156913802,1.8838768137087103,1.8437500659923558,0.09655661159867572,0.9786999089195442
11,40,0.28765757064082653,6.695975888021728,1.9261481570178813,1.8334757670314228,0.1006384460765033,0.9518871953599163
10,53,0.20961271345158197,9.00207614194934,1.8869496068117495,1.8326474391087657,0.03280070073300937,0.9712222480627162
37,56,0.1919986074963236,9.860845872057343,1.8932686761708808,1.803428957788116,0.2607499109675656,0.9525478240286187
38,50,0.3116767941492463,5.872422159747388,1.8302977126410591,1.7930726457985682,0.1484494113408198,0.9796617421387822
55,53,0.148714958283576,12.39813929457484,1.8437887679866618,1.7906122933698179,0.08810627993860749,0.9711591286701945
18,37,0.2791045895750423,6.556008163339196,1.8298119676794131,1.7852525723589252,0.06178921379970085,0.9756481014948226
40,24,0.24530472701427555,7.506186158321447,1.8413029464853763,1.7732768864653414,0.08392287305960443,0.9630554764766542
9,27,0.2048756900331195,8.866342324218264,1.8164980017440695,1.7695974664605831,0.19173196848249005,0.9741807944525918
33,9,0.31900588613146624,5.636877802455904,1.7981971983872376,1.7678868413690019,0.07852376650692443,0.98314403056271
17,42,0.32095988418990834,5.572877915301111,1.7886702502995426,1.7349959533862291,0.10797313128291737,0.9699920670652823
53,25,0.21201814830346427,8.380384664315883,1.7767936385990026,1.7303761379137959,0.1475391617548251,0.9738756940159877
57,56,0.3836286835650457,4.5399924356930645,1.7416713215001958,1.7262625908382976,0.06861166503257997,0.9911529055616385
11,52,0.2585731631169459,6.859143737838428,1.773590492566674,1.7221838951077284,0.03010376862587434,0.971015520395268
7,58,0.23207230475024979,7.731744457328662,1.7943237559522318,1.72142514212116,0.05262087869264546,0.959372653018025
30,9,0.21230207110952407,8.22772184033462,1.7467623872161049,1.69132078533983,0.05732913459896798,0.9682603642704749
20,42,0.2166886018334177,7.939340105736004,1.7203645069919133,1.6646038100197633,0.06098889350401772,0.967587858999923
56,36,0.18850786100273312,9.153106693917584,1.725432564400202,1.6546972432790885,0.1480807989537399,0.9590042969046996
40,36,0.2344324437076353,7.282823438625107,1.7073300958081274,1.6540232249830484,0.14882494988704004,0.9687776423809554
37,28,0.1625588002017394,10.493982811869198,1.7058892552351326,1.648852405819484,0.09056278581570562,0.9665647407997849
13,18,0.2632241020188879,6.4273286440796,1.691827810718129,1.6475216296700443,0.1633678671026407,0.9738116486988838
49,21,0.24578369400898956,6.879510838191628,1.6908715867856183,1.643372149243703,0.09084604916658988,0.9719083117173831
43,11,0.31065330228604454,5.309472626408143,1.6494052047910477,1.6280740281325456,0.06865422345649157,0.9870673521603175
15,6,0.25839895119657863,6.4418677193824205,1.6645718624355135,1.6239158782545091,0.0811154905250648,0.9755757110290698
32,35,0.21001040031736923,7.936267097006502,1.6666986300679014,1.6120081200171454,0.03682036805868817,0.9671863232715756
0,15,0.16768375864470586,10.175182811012453,1.706212898647572,1.6100836894339778,0.08910802721618927,0.9436593116311622
8,55,0.27894509308319076,5.9507832344810065,1.6599417832601955,1.604565332671273,0.13124695269979472,0.9666395224535159
48,22,0.2530016745738102,6.4766937105326985,1.6386143544664369,1.596108263863161,0.04397842452545866,0.974059734990472
34,37,0.21355184548301506,7.9306458462968825,1.693604056348907,1.592633895194337,0.012688404818038209,0.9403814836318692
48,21,0.24094176706889595,6.736942087930944,1.623210731306899,1.5882898869480522,0.041958404225529794,0.9784865614270977
1,14,0.3879329554819831,4.0948209130397055,1.5885159789649255,1.5799728835094837,0.018615188113808172,0.9946219644192635
20,53,0.20157454314926074,8.255733793523186,1.6641457677913496,1.5755577382801043,0.1317574758562839,0.946766664780322
24,31,0.15504081957582594,10.457872719340157,1.6213971574261694,1.5741903467120786,0.05918608654213931,0.9708851033209978
3,29,0.19977877682491682,8.17352272081277,1.6328963715146412,1.5724416148670766,0.020285703497261144,0.96297697900358
19,43,0.25855299526572634,6.155801171214176,1.5916008310776915,1.5721573785210115,0.21864696654565408,0.9877837129907034
44,22,0.25716323658127777,6.246996849655743,1.6064979287705168,1.5693781029168987,0.022312413530537204,0.9768939472694953
5,10,0.22735308687123293,7.0334620976466296,1.5990793192917783,1.5690441293627906,0.19918980793605268,0.9812171981923385
18,47,0.25177929738587845,6.379489132813445,1.6062232915406163,1.5680047802269195,0.005816998511067877,0.976205978636358
26,10,0.24859661437827787,6.397659048600153,1.5904363794285523,1.565919730842795,0.3334906508132443,0.9845849548571278
6,10,0.1834591186034626,8.683114662446098,1.5929965627051637,1.5616672722732952,0.18844806970871597,0.9803331085795526
16,9,0.2745963259412211,5.7585934833740495,1.5812886131235722,1.5608369631781185,0.024989778078697178,0.9870664660608319
27,24,0.20637733942444272,7.830417904033945,1.616020813616047,1.5589810233750805,0.06069783284688408,0.9647035547064936
28,31,0.18531432096205114,8.644246197123598,1.6019026142487525,1.5570413333050286,0.14308381488537283,0.9719950011038826
27,31,0.20555210182698347,7.805915892504685,1.6045224183889915,1.5562402748684787,0.0671712553096674,0.9699087136663443
35,31,0.2401100275500343,6.647108878000075,1.5960374958246755,1.5381136766122077,0.08182630186034176,0.9637077328295859
49,52,0.23409632494810384,6.652927072781756,1.5574257778859553,1.5091023610656433,0.015897271997463797,0.9689722505518652
0,59,0.1702066098590402,9.10888200550067,1.5503919257622842,1.5032637259464363,0.12647347755874047,0.969602395992435
24,24,0.1735225322248972,10.490698965673069,1.8203726493327006,1.4892787519490491,0.049125067600874886,0.8181175170342064
55,18,0.14301102117123252,10.684593226702821,1.5280145881500047,1.481993214149473,0.2079491480283866,0.9698815872849417
29,56,0.21617963035626897,7.238232417569643,1.5647584084629684,1.475745833128419,0.2531393362251272,0.9431141735023589
43,10,0.26425492667977946,5.60375017376376,1.4808185912997436,1.4697126509136087,0.1610231086773628,0.9925001344179594
39,48,0.1974008334761664,7.579011072735476,1.4961031026830771,1.4643712390008894,0.06436824819212518,0.9787903229227447
15,9,0.22110115908586983,6.604843417186491,1.4603385351206106,1.4427309938116262,0.016867310495001522,0.9879428359345936
53,21,0.18620953825613976,7.829712532002238,1.4579671552624476,1.4236454443725493,0.0022685559733137423,0.9764592015903677
10,9,0.16126547602975752,9.025094381158517,1.4554361415910182,1.4216790416311094,0.02816973508565914,0.9768061964415649
20,40,0.19543273126509086,7.516524638619905,1.4689749397468381,1.41910278851659,0.04937981636189701,0.9660496922848507
1,31,0.3486711059566925,4.078104257258888,1.4219171215851523,1.4183311081926553,0.024764743821385087,0.9974780433134532
53,20,0.185252815772636,7.996780642740289,1.4814261311837484,1.4068985166866361,0.03489445067350165,0.9496919806338503
25,25,0.2046224340769235,8.535851922084193,1.7466267972170535,1.4004073477628003,0.1016083002280711,0.801778233331875
35,34,0.21340666294094654,6.736964231064638,1.4377130549040242,1.3852580811351711,0.045848321549025864,0.963514990985211
59,3,0.19191441200075274,7.390058268148339,1.4182586871829896,1.384079360607384,0.03195995112695496,0.9759004990524724
36,21,0.09908908462260511,14.134274212281074,1.4005522934998247,1.365601018149232,0.09239567897264919,0.9750446480914658
14,24,0.172316654801225,8.078272844339407,1.3920209531081436,1.3533875639352457,0.030959709685622436,0.9722465462271699
34,32,0.1891413347300834,7.337718122087103,1.3878657994846757,1.3501480060811517,0.15104216713593308,0.9728231696338876
